nursery_site,species,date,batch_id,volume,calliper300,rcd,height_m,sizeindex,logSI,logvol,logH,logD,logRCD,climate_region,genus_species,variety,origin,leaf_type,slenderness,MAT,MAP
A,ginkgo_biloba,11/4/2016,GB_27,27,18.51,36.5,1.928,35.68728,1.552513448,1.431363764,0.28510703,1.267406419,1.562292864,South Australia,ginkgo_biloba,NA,non-native,deciduous,0.104159914,15.39166667,698
A,eucalyptus_leucoxylon_rosea,11/4/2016,ELR_18,18,13.25,16.42,1.617,21.42525,1.330925898,1.255272505,0.20871002,1.122215878,1.215373153,South Australia,eucalyptus_leucoxylon,rosea,native,evergreen,0.122037736,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_27,27,19.51,26.25,1.337,26.08487,1.416388677,1.431363764,0.126131407,1.290257269,1.419129308,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.06852896,15.39166667,698
A,corymbia_maculata,11/4/2016,CM_27,27,16.465,20.905,1.634,26.90381,1.429813787,1.431363764,0.213252052,1.216561735,1.320250172,South Australia,corymbia_maculata,NA,native,evergreen,0.099240814,15.39166667,698
A,angophora_costata,11/4/2016,AC_27,27,14.305,19.33,1.162,16.62241,1.22069399,1.431363764,0.065206128,1.155487862,1.286231854,South Australia,angophora_costata,NA,native,evergreen,0.081230339,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_27,27,16.73,21.53,1.41,23.5893,1.372715054,1.431363764,0.149219113,1.223495941,1.33304403,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.084279737,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_18,18,10.46,17.3,1.11,11.6106,1.064854663,1.255272505,0.045322979,1.019531685,1.238046103,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.106118547,15.39166667,698
A,eucalyptus_leucoxylon_megalocarpa,11/4/2016,ELM_18,18,15.295,15.79,1.826,27.92867,1.446050255,1.255272505,0.261500773,1.184549481,1.19838213,South Australia,eucalyptus_leucoxylon,megalocarpa,native,evergreen,0.11938542,15.39166667,698
A,ginkgo_biloba,11/4/2016,GB_27,27,24.095,34.25,2.096,50.50312,1.703318209,1.431363764,0.321391278,1.381926931,1.534660576,South Australia,ginkgo_biloba,NA,non-native,deciduous,0.086989002,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_27,27,15.625,20.145,1.296,20.25,1.306425028,1.431363764,0.112605002,1.193820026,1.304167272,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.082944,15.39166667,698
A,eucalyptus_leucoxylon_rosea,11/4/2016,ELR_18,18,8.925,13.02,0.992,8.8536,0.947119897,1.255272505,-0.003488328,0.950608225,1.114610984,South Australia,eucalyptus_leucoxylon,rosea,native,evergreen,0.111148459,15.39166667,698
A,callistemon_kingsparkspecial,11/4/2016,ck_18,18,11.675,20.81,1.095,12.784125,1.106671008,1.255272505,0.039414119,1.067256889,1.31827208,South Australia,callistemon_kingsparkspecial,NA,native,evergreen,0.09379015,15.39166667,698
A,ulmus_parvifolia_todd,11/4/2016,UMT_27,27,22.555,28.89,2.183,49.237565,1.692296567,1.431363764,0.339053736,1.353242831,1.460747542,South Australia,ulmus_parvifolia,todd,non-native,deciduous,0.096785635,15.39166667,698
A,eucalyptus_leucoxylon_megalocarpa,11/4/2016,ELM_18,18,17.6,24.11,1.89,33.264,1.521974472,1.255272505,0.276461804,1.245512668,1.38219721,South Australia,eucalyptus_leucoxylon,megalocarpa,native,evergreen,0.107386364,15.39166667,698
A,ginkgo_biloba,11/4/2016,GB_27,27,22.54,36.46,2.412,54.36648,1.735331215,1.431363764,0.382377303,1.352953912,1.561816664,South Australia,ginkgo_biloba,NA,non-native,deciduous,0.10700976,15.39166667,698
